;Station;City
0;chars;chars
1;imphy;imphy
2;verberie;verberie
3;vulaines-sur-seine-samoreau;vulaines-sur-seine
4;montgeroult-courcelles;montgeroult
5;civry-st-cloud;civry
6;le chambon-feugerolles;chambon-feugerolles (le )
7;nantes;nantes
8;briouze;briouze
9;dreux;dreux
10;arques (pas-de-calais);arques
11;bouchain;bouchain
12;caudrot;caudrot
13;dunkerque-port-est;grande-synthe
14;st-bonnet-de-rochefort;saint-bonnet-de-rochefort
15;lantenay;lantenay
16;st-aubin-st-luperce;saint-aubin-des-bois
17;tonnerre;tonnerre
18;margaux;margaux
19;st-cergues-les-voirons;saint-cergues
20;ferrière-la-grande;ferrière-la-grande
21;quimperlé;quimperle
22;verdun;verdun
23;dardilly-les-mouilles;ecully
24;zoufftgen (ie);zoufftgen
25;bartenheim;bartenheim
26;brion-laizy;laizy
27;jeumont;jeumont
28;gagny;gagny
29;aumale;aumale
30;alençon;alencon
31;faulquemont;faulquemont
32;plaintel;plaintel
33;bourg-en-bresse;bourg-en-bresse
34;figeac;figeac
35;tacoignières-richebourg;tacoignières
36;bellac;bellac
37;saincaize;saincaize-meauce
38;beillant;saint-sever-de-saintonge
39;conflans-jarny;jarny
40;villepinte;villepinte
41;auray;auray
42;st-quentin-en-yvelines;montigny-le-bretonneux
43;la roche-sur-foron;la roche-sur-foron
44;st-dalmas-de-tende;tende
45;prunay;prunay
46;les ancizes-st-georges;saint-georges-de-mons
47;pontivy;pontivy
48;corbie;corbie
49;blanc-misseron;crespin
50;vendenheim;vendenheim
51;haguenau;haguenau
52;ancy-sur-moselle;ancy-sur-moselle
53;blaye;blaye
54;golfe-juan-vallauris;vallauris
55;baume-les-dames;baume-les-dames
56;st-jean-de-losne;saint-usage
57;montigny-beauchamp;montigny-les-cormeilles
58;chanteloup-les-vignes;chanteloup-les-vignes
59;st-remy-en-l'eau;saint-remy-en-l'eau
60;meurchin;meurchin
61;ruminghem;ruminghem
62;magny-blandainville;magny
63;villeparisis;mitry-mory
64;rosheim;rosheim
65;royan;royan
66;aubergenville-élisabethville;aubergenville
67;st-denis-catus;saint-denis-catus
68;bar-sur-seine;bar-sur-seine
69;lisieux;lisieux
70;la trinité-victor;trinite (la )
71;servas-lent;servas
72;paris-st-lazare;paris
73;st-germain-au-mont-d'or;saint-germain-au-mont-d'or
74;versailles-rive-gauche;versailles
75;mennessis;mennessis
76;la teste;teste-de-buch (la )
77;fourmies;fourmies
78;bauvin-provin;bauvin
