gare
Aiton-Salle-Polyvalente
Aix-Gare-Routière
Allamps-Esat
Ambert
Ancizes-St-Georges-Bour
Annonay-Gare-Route
Argentine
Aubenas-Pl.-de-la-Paix
Aubigny-sur-Nere-Mail
Bagnoles- Orne Egl.Mad.
Barenton-sur-Serre
BarentonÂ Cel
Bayel-Eglise
Berthelming-Mairie
Bitche
Bitche-Camp
Bitche-Quartier-Driant
Bois-d'Oingt-Centre
Bort-les-Orgues
Bourg-Achard Champ de F
Bourg-en-Bresse Gare R
Bourges-Gare-Routière
Bouxwiller-Babenhausen
Bouxwiller-Schattenmann
Bouzonville
Bresse-Claudel (la)
Bricon(la Poste)
Brioude-Lycée-Lafayette
Bruyères (Vosges)
Bruyères Chanzy Gare
Bussang (Gare SNCF)
Buswiller-Eglise
Buzançais
Cernay-(Lycée)
Chamberry-Jacob
Chambourg-Chopin
Chartres-Gare-Routière
Chatillon-Mail
Chauffailles-Gambetta
Chaumont-sur-Tharonne
Chinon-Lycée-Rabelais
Châteaubriant
Châteaudun-LEP-Paulsen
Châteauroux Gare Rout.
Châteauroux-Charmilles
Châteauroux-L-Giraudoux
Châteauroux-Ly-B-Pascal
Châteauroux-Lycée-Agric
Clelles-Mairie
Clion-sur-Indre
Comines (France)
Communay-Stade
Corcieux Le Conti
Courtalain-Centre
Creutzwald G.R.
Damblain Eglise
Dompierre-Halte-Rout.
Dossenheim-(Mairie)
Droué (Centre)
Ettendorf-(Angle-Pont)
Ettendorf-Pl-de-L'ecol
Frohmuhl- (Lavoir)
Fénétrange (Gendarm.)
Gare de Abancourt
Gare de Abbeville
Gare de Agen
Gare de Aillevillers
Gare de Aix-en-Provence
Gare de Aix-les-Bains-le-Revard
Gare de Albens
Gare de Albert
Gare de Albertville
Gare de Albi-Ville
Gare de Alençon
Gare de Altkirch
Gare de Alès
Gare de Ambérieu-en-Bugey
Gare de Amiens
Gare de Ancenis
Gare de Andelot
Gare de Angers-St-Laud
Gare de Angoulême
Gare de Annecy
Gare de Annemasse
Gare de Antibes
Gare de Arcachon
Gare de Arches
Gare de Argentan
Gare de Argenton-sur-Creuse
Gare de Arras
Gare de Arvant
Gare de Aubagne
Gare de Aubrais-(les)
Gare de Auch
Gare de Audun-le-Roman
Gare de Aulnoye Aymeries
Gare de Aurillac
Gare de Autun
Gare de Auxerre-St-Gervais
Gare de Auxonne
Gare de Avallon
Gare de Avesnes
Gare de Avignon-Centre
Gare de Avignon-TGV
Gare de Ax-les-Thermes
Gare de Bar-le-Duc
Gare de Bar-sur-Aube
Gare de Baroncourt
Gare de Barr
Gare de Bas-Monistrol
Gare de Basel-SBB
Gare de Bayonne
Gare de Beauvais-Gare-SNCF
Gare de Bedous
Gare de Belfort-Ville
Gare de Bellegarde-s-V. Gare
Gare de Benfeld
Gare de Bening
Gare de Bergerac
Gare de Besançon-Franche-Comté
Gare de Besançon-Mouillère
Gare de Besançon-Viotte
Gare de Beslé
Gare de Bettembourg
Gare de Bidos
Gare de Biel
Gare de Biganos-Facture
Gare de Blois-Chambord
Gare de Bléré-la-Croix
Gare de Bonneville
Gare de Bordeaux-St-Jean
Gare de Boulogne Ville
Gare de Bourg-St-Maurice
Gare de Bourg-en-Bresse
Gare de Bourges
Gare de Bourgoin-Jallieu
Gare de Boussens
Gare de Boën
Gare de Breil-sur-Roya
Gare de Bressuire
Gare de Brest
Gare de Briançon
Gare de Brignais
Gare de Brioude
Gare de Briouze
Gare de Brive-la-Gaillarde
Gare de Brou
Gare de Bréauté-Beuzeville
Gare de Bueil
Gare de Busigny
Gare de Bédarieux
Gare de Béthune
Gare de Béziers
Gare de Caen
Gare de Cahors
Gare de Calais Fréthun
Gare de Calais Ville
Gare de Callac
Gare de Cambo-les-Bains
Gare de Cambrai Ville
Gare de Cannes
Gare de Cannes-la-Bocca
Gare de Capdenac
Gare de Carcassonne
Gare de Carhaix
Gare de Carmaux
Gare de Carnoules
Gare de Carpentras
Gare de Castelnaudary
Gare de Castelsarrasin
Gare de Castres
Gare de Cavaillon
Gare de Cerbère
Gare de Cercy-la-Tour
Gare de Cernay (Haut-Rhin)
Gare de Chagny
Gare de Chalon-sur-Saône
Gare de Chambéry-Chal.-les-Eaux
Gare de Chamonix-Mont-Blanc
Gare de Champagne-Ardenne
Gare de Champagnole
Gare de Champagnole-PE-Victor
Gare de Chantonnay
Gare de Charleroi Sud
Gare de Charleville-Mézières
Gare de Charmes (Vosges)
Gare de Chartres
Gare de Chatellerault
Gare de Chaumont
Gare de Chedde
Gare de Cherbourg
Gare de Chinon
Gare de Cholet
Gare de Châlons-en-Champagne
Gare de Château-Gaillard
Gare de Château-Renault
Gare de Château-Thierry
Gare de Château-du-Loir
Gare de Châteaubriant-TT
Gare de Châteaudun
Gare de Châteauroux
Gare de Clamecy
Gare de Clelles-Mens
Gare de Clermont-Ferrand
Gare de Clermont-de-l'Oise
Gare de Clisson
Gare de Cluses (Hte-Savoie)
Gare de Colmar
Gare de Colomiers
Gare de Commentry
Gare de Compiègne
Gare de Condat-le-Lardin
Gare de Conflans-Jarny
Gare de Connerré-Beillé
Gare de Contrexéville
Gare de Coppet
Gare de Corbigny
Gare de Cormery
Gare de Cosne-sur-Loire
Gare de Courtalain-St-Pellerin
Gare de Courtrai/Kortrijk
Gare de Coutances
Gare de Coutras
Gare de Creil
Gare de Crépy-en-Valois
Gare de Culmont-Chalindrey
Gare de Culoz
Gare de Dax
Gare de Decize
Gare de Delle
Gare de Delémont
Gare de Die
Gare de Diemeringen
Gare de Dieppe
Gare de Digoin
Gare de Dijon-Porte-Neuve
Gare de Dijon-Ville
Gare de Dinan
Gare de Dives-Cabourg
Gare de Dol
Gare de Dole-Ville
Gare de Dormans
Gare de Douai
Gare de Dourdan
Gare de Dreux
Gare de Dunkerque
Gare de Durtol-Nohanent
Gare de Egletons
Gare de Eguzon
Gare de Elbeuf-St-Aubin
Gare de Entzheim-Aéroport
Gare de Epernay
Gare de Epierre-St-Léger
Gare de Epinal
Gare de Erstein
Gare de Esvres
Gare de Etang
Gare de Etaples Le Touquet
Gare de Evian-les-Bains
Gare de Evreux
Gare de Eymoutiers-Vassiviere
Gare de Faubourg-d'Orléans
Gare de Felletin-Gare
Gare de Feurs
Gare de Figeac
Gare de Firminy
Gare de Fismes
Gare de Flers
Gare de Foix
Gare de Font-Romeu-Odeillo-Via
Gare de Forbach
Gare de Fougères
Gare de Franois
Gare de Frasne
Gare de Freiburg-Breisgau
Gare de Fécamp
Gare de Gannat
Gare de Gap
Gare de Gardanne
Gare de Genève
Gare de Gien
Gare de Givet
Gare de Givors-Ville
Gare de Gramat
Gare de Granville
Gare de Grasse
Gare de Grenoble
Gare de Grenoble U.-Gières
Gare de Guingamp
Gare de Guéret
Gare de Génolhac
Gare de Hagondange
Gare de Haguenau
Gare de Hazebrouck
Gare de Hendaye
Gare de Herrlisheim (Bas-Rhin)
Gare de Hirson
Gare de Hirson-Ecoles
Gare de Hyères
Gare de Ingwiller
Gare de Is-sur-Tille
Gare de Issoire
Gare de Issoudun
Gare de Janzé
Gare de Jeumont
Gare de Joinville
Gare de Kehl
Gare de Krimmeri-Meinau
Gare de Kruth
Gare de L'Aigle
Gare de L'Arbresle
Gare de L'Isle-Jourdain (Gers)
Gare de La Bastide-St-Laurent
Gare de La Brohinière
Gare de La Chaux-de-Fonds
Gare de La Douzillère
Gare de La Forest
Gare de La Roche-sur-Foron
Gare de La Roche-sur-Yon
Gare de La Rochelle-Ville
Gare de La Souterraine
Gare de La Tour-du-Pin
Gare de La Verrière
Gare de La-Rochelle-Pt-Dauphine
Gare de Lamballe
Gare de Lamotte-Beuvron
Gare de Lamure-sur-Azergues
Gare de Landau-Pfalz-Hbf
Gare de Landerneau
Gare de Langeac
Gare de Langogne
Gare de Langon
Gare de Lannion
Gare de Laon
Gare de Lapeyrouse(Puy-de-Dôme)
Gare de Laroche-Migennes
Gare de Latour-de-Carol-Enveitg
Gare de Lauterbourg
Gare de Laval
Gare de Le Buisson
Gare de Le Creusot
Gare de Le Croisic
Gare de Le Dorat
Gare de Le Grau-du-Roi
Gare de Le Havre
Gare de Le Lioran
Gare de Le Locle
Gare de Le Mans
Gare de Le Puy-en-Velay
Gare de Le Valdahon
Gare de Le-Verdon
Gare de Lens
Gare de Les Arcs-Draguignan
Gare de Les Laumes-Alésia
Gare de Les Sables-d'Olonne
Gare de Lesparre
Gare de Libourne
Gare de Lille Europe
Gare de Lille Flandres
Gare de Limeray
Gare de Limoges-Bénédictins
Gare de Limoux
Gare de Lisieux
Gare de Lison
Gare de Liverdun
Gare de Loches
Gare de Longages-Noé
Gare de Longueville (S.-et-M.)
Gare de Longuyon
Gare de Longwy
Gare de Lons-le-Saunier
Gare de Lorient
Gare de Louhans
Gare de Lourdes
Gare de Lozanne
Gare de Luc-en-Diois
Gare de Lunel
Gare de Lunéville
Gare de Lure
Gare de Lutterbach Tram-train
Gare de Lutzelbourg
Gare de Luxembourg
Gare de Luzy(Nièvre)
Gare de Lyon-Gorge-de-Loup
Gare de Lyon-Part-Dieu
Gare de Lyon-Perrache
Gare de Lyon-St-Paul
Gare de Macau
Gare de Manosque-Gréoux
Gare de Mantes-la-Jolie
Gare de Marle-sur-Serre
Gare de Marmande
Gare de Marseille-Blancarde
Gare de Marseille-St-Charles
Gare de Martigues
Gare de Marvejols
Gare de Massiac-Blesle
Gare de Maubeuge
Gare de Mauzé
Gare de Mazamet
Gare de Mende
Gare de Menton
Gare de Meroux
Gare de Messac-Guipry
Gare de Metz-Ville
Gare de Metzeral
Gare de Meymac
Gare de Millau
Gare de Miramas
Gare de Modane
Gare de Molsheim
Gare de Mommenheim
Gare de Monaco-Monte-Carlo
Gare de Mons
Gare de Monsempron-Libos
Gare de Mont-de-Marsan
Gare de Montauban-Ville-Bourbon
Gare de Montauban-de-Bretagne
Gare de Montbazon
Gare de Montbrison
Gare de Montbéliard-Ville
Gare de Montchanin
Gare de Montereau
Gare de Montivilliers
Gare de Montluçon-Ville
Gare de Montmédy
Gare de Montmélian
Gare de Montpellier-Saint-Roch
Gare de Montreuil-sur-Ille
Gare de Montreux-Vieux
Gare de Montréjeau-Gourdan-Pol.
Gare de Morcenx
Gare de Morhange
Gare de Morlaix
Gare de Morteau
Gare de Mouchard
Gare de Moulins-sur-Allier
Gare de Mouscron / Moeskroen
Gare de Moûtiers-Salins-Brides
Gare de Mulhouse
Gare de Mulhouse-Gare-Centrale
Gare de Mullheim-Baden-Bf
Gare de Munster
Gare de Muret
Gare de Mussidan
Gare de Mâcon-Loché-TGV
Gare de Mâcon-Ville
Gare de Namur
Gare de Nancy-Ville
Gare de Nantes
Gare de Narbonne
Gare de Neuchâtel
Gare de Neufchâteau
Gare de Neuilly-lès-Dijon
Gare de Neussargues
Gare de Neustadt (Weinstr) Hbf
Gare de Nevers
Gare de Nevers-Le-Banlay
Gare de Nexon
Gare de Nice-Ville
Gare de Niederbronn
Gare de Niort
Gare de Nogent-le-Rotrou
Gare de Nogent-sur-Seine
Gare de Nort-sur-Erdre
Gare de Nouan-le-Fuzelier
Gare de Nouzonville
Gare de Nîmes
Gare de Obermodern
Gare de Obernai
Gare de Objat
Gare de Offenburg
Gare de Oissel
Gare de Oloron-Ste-Marie
Gare de Orange
Gare de Orléans
Gare de Oyonnax
Gare de Pagny-sur-Moselle
Gare de Paimpol
Gare de Pamiers
Gare de Paray-le-Monial
Gare de Paris Gare du Nord
Gare de Paris-Austerlitz
Gare de Paris-Bercy
Gare de Paris-Est
Gare de Paris-Gare-de-Lyon
Gare de Paris-Montp.
Gare de Paris-Montparnasse 
Gare de Paris-St-Lazare
Gare de Pau
Gare de Pauillac
Gare de Perpignan
Gare de Persan-Beaumont
Gare de Pessac
Gare de Pierrelatte
Gare de Plouaret-Trégor
Gare de Poitiers
Gare de Poligny
Gare de Pont-St-Vincent
Gare de Pont-de-Beauvoisin
Gare de Pont-de-Dore
Gare de Pontarlier
Gare de Pontorson-Mt-St-Michel
Gare de Pornic
Gare de Port-Bou
Gare de Port-Boulet
Gare de Port-de-Piles
Gare de Prissé-la-Charrière
Gare de Puyoô
Gare de Périgueux
Gare de Quimper
Gare de Quimperlé
Gare de Raedersheim
Gare de Rang du Fl. Verton Ber.
Gare de Redon
Gare de Reignac
Gare de Reims
Gare de Remiremont
Gare de Rennes
Gare de Rethel
Gare de Retiers
Gare de Revigny
Gare de Ribécourt
Gare de Riom-Châtel-Guyon
Gare de Rives
Gare de Roanne
Gare de Rochefort
Gare de Rodange
Gare de Rodez
Gare de Roeschwoog
Gare de Rolleville
Gare de Romans-Bourg-de-Péage
Gare de Romilly-sur-Seine
Gare de Romorantin-Blanc-Argent
Gare de Rosporden
Gare de Rothau
Gare de Rouen-Rive-Droite
Gare de Royan
Gare de Rue
Gare de Rumilly
Gare de Rémilly
Gare de Saales
Gare de Saarbrücken /Sarrebruck
Gare de Sablé-sur-Sarthe
Gare de Saillat-Chassenon
