depart;arrivee;duree
Gare de Le Havre;Gare de Paris-St-Lazare;138
Gare de Dieppe;Gare de Paris-St-Lazare;145
Gare de Paris-St-Lazare;Gare de Rouen-Rive-Droite;97
Gare de Cherbourg;Gare de Paris-St-Lazare;194
Gare de Caen;Gare de Paris-St-Lazare;149
Gare de Paris-St-Lazare;Gare de Trouville-Deauville;147
Gare de Granville;Gare de Paris-Montp.;3201
Gare de Granville;Gare de Paris-Montparnasse ;12195
Gare de Dreux;Gare de Granville;142
Gare de Bourges;Gare de Paris-Austerlitz;122
Gare de Paris-Austerlitz;Gare de Vierzon;101
Gare de Bourges;Gare de Paris-Bercy;131
Gare de Bourges;Gare de Paris-Bercy;131
Gare de Nevers;Gare de Paris-Austerlitz;177
Gare de Bourges;Gare de Nevers;38
Gare de Nevers;Gare de Paris-Bercy;154
Gare de Nevers;Gare de Paris-Gare-de-Lyon;146
Gare de Argentan;Gare de Paris-Montp.;3121
Gare de Orléans;Gare de Paris-Austerlitz;75
Gare de Paris-Austerlitz;Gare de Tours;131
Gare de Orléans;Gare de Tours;72
Gare de Aubrais-(les);Gare de Paris-Austerlitz;71
Gare de Paris-Bercy;Gare de Tours;146
Gare de Orléans;Gare de Paris-Bercy;84
Gare de Paris-Austerlitz;Gare de St-Pierre-des-Corps;118
Gare de Calais Ville;Gare de Paris Gare du Nord;183
Gare de Boulogne Ville;Gare de Paris Gare du Nord;145
Gare de Amiens;Gare de Calais Ville;107
Gare de Boulogne Ville;Gare de Calais Ville;28
Gare de Amiens;Gare de Boulogne Ville;75
Gare de Amiens;Gare de Paris Gare du Nord;74
Gare de Cambrai Ville;Gare de Paris Gare du Nord;155
Gare de Maubeuge;Gare de Paris Gare du Nord;119
Gare de Paris Gare du Nord;Gare de St Quentin;100
Gare de Compiègne;Gare de Maubeuge;80
Gare de Argentan;Gare de Dreux;69
Gare de Caen;Gare de Le Mans;111
Gare de Caen;Gare de Tours;182
Gare de Le Mans;Gare de Paris-Montparnasse ;12135
Gare de Nogent-le-Rotrou;Gare de Paris-Montparnasse ;12102
Gare de Chartres;Gare de Paris-Montparnasse ;1270
Gare de Chartres;Gare de Le Mans;70
Gare de Blois-Chambord;Gare de Tours;38
Gare de Lyon-Perrache;Gare de Tours;366
Gare de Lyon-Perrache;Gare de Nevers;211
Gare de Latour-de-Carol-Enveitg;Gare de Villefranche-Vernet-l.B;174
Gare de Font-Romeu-Odeillo-Via;Gare de Villefranche-Vernet-l.B;88
Gare de Briançon;Gare de Romans-Bourg-de-Péage;241
Gare de Briançon;Gare de Veynes-Dévoluy;97
Gare de Romans-Bourg-de-Péage;Gare de Veynes-Dévoluy;153
Gare de Gap;Gare de Romans-Bourg-de-Péage;172
Gare de Briançon;Gare de Gap;75
Gare de Briançon;Gare de Valence-Ville;247
Gare de Briançon;Gare de Marseille-St-Charles;302
Gare de Gap;Gare de Marseille-St-Charles;216
Gare de Aix-en-Provence;Gare de Marseille-St-Charles;50
Gare de Marseille-St-Charles;Gare de Nice-Ville;159
Gare de Les Arcs-Draguignan;Gare de Marseille-St-Charles;83
Gare de Grenoble;Gare de Valence-Ville;74
Gare de Chambéry-Chal.-les-Eaux;Gare de Valence-Ville;125
Gare de Annecy;Gare de Valence-Ville;181
Gare de Annecy;Gare de Chambéry-Chal.-les-Eaux;53
Gare de Annecy;Gare de Avignon-Centre;277
Gare de Annecy;Gare de Grenoble;103
Gare de Grenoble;Gare de Lyon-Part-Dieu;82
Gare de Avignon-Centre;Gare de Lyon-Part-Dieu;141
Gare de Lyon-Part-Dieu;Gare de Marseille-St-Charles;246
Gare de Avignon-Centre;Gare de Marseille-St-Charles;78
Gare de Dijon-Ville;Gare de Paris-Bercy;171
Gare de Dijon-Ville;Gare de Paris-Gare-de-Lyon;170
Gare de Lyon-Part-Dieu;Gare de Sens;262
Gare de Lyon-Part-Dieu;Gare de Paris-Bercy;308
Gare de Dijon-Ville;Gare de Lyon-Part-Dieu;124
Gare de Lyon-Part-Dieu;Gare de Paris-Gare-de-Lyon;309
Gare de Mâcon-Ville;Gare de Paris-Bercy;262
Gare de Dijon-Ville;Gare de Mâcon-Ville;74
Gare de Mâcon-Ville;Gare de Paris-Gare-de-Lyon;263
Gare de Lyon-Perrache;Gare de Paris-Bercy;324
Gare de Dijon-Ville;Gare de Lyon-Perrache;137
Gare de Lyon-Perrache;Gare de Paris-Gare-de-Lyon;323
Gare de Bourg-St-Maurice;Gare de Lyon-Part-Dieu;217
Gare de Bourg-St-Maurice;Gare de Bourgoin-Jallieu;188
Gare de Albertville;Gare de Bourgoin-Jallieu;119
Gare de Chambéry-Chal.-les-Eaux;Gare de Lyon-Part-Dieu;80
Gare de Bourgoin-Jallieu;Gare de Chambéry-Chal.-les-Eaux;55
Gare de La Chaux-de-Fonds;Gare de Morteau;29
Gare de Besançon-Viotte;Gare de La Chaux-de-Fonds;118
Gare de Besançon-Mouillère;Gare de La Chaux-de-Fonds;112
Gare de Pontarlier;Gare de Vallorbe-Cff;33
Gare de Frasne;Gare de Neuchâtel;60
Gare de Neuchâtel;Gare de Travers;22
Gare de Dole-Ville;Gare de Vallorbe-Cff;63
Gare de Frasne;Gare de Vallorbe-Cff;17
Gare de Delémont;Gare de Meroux;69
Gare de Delle;Gare de Delémont;52
Gare de Biel;Gare de Meroux;99
Gare de Biel;Gare de Delle;82
Gare de Lyon-Part-Dieu;Gare de Modane;182
Gare de Aix-les-Bains-le-Revard;Gare de Lyon-Part-Dieu;78
Gare de St-Gervais-L-B-Le-Fayet;Gare de Vallorcine;95
Gare de Chamonix-Mont-Blanc;Gare de Vallorcine;33
Gare de Chamonix-Mont-Blanc;Gare de St-Gervais-L-B-Le-Fayet;45
Gare de Aulnoye Aymeries;Gare de Mons;28
Gare de Courtrai/Kortrijk;Gare de Lille Flandres;36
Gare de Maubeuge;Gare de Namur;84
Gare de Lille Flandres;Gare de Tournai;30
Gare de Brive-la-Gaillarde;Gare de Ussel;106
Gare de Dijon-Ville;Gare de Nevers;203
Gare de Le Creusot;Gare de Montchanin;11
Gare de Nice-Ville;Gare de Tende;137
Gare de Breil-sur-Roya;Gare de Nice-Ville;70
Gare de Annemasse;Gare de Coppet;51
Gare de Decize;Gare de Nevers;33
Gare de Annemasse;Gare de Genève;23
Gare de Coppet;Gare de Evian-les-Bains;94
Gare de Coppet;Gare de Thonon-les-Bains;85
Gare de Annemasse;Gare de Thonon-les-Bains;33
Gare de Annecy;Gare de Genève;89
Gare de Annecy;Gare de Coppet;117
Gare de Coppet;Gare de La Roche-sur-Foron;79
Gare de Coppet;Gare de St-Gervais-L-B-Le-Fayet;132
Gare de Cluses (Hte-Savoie);Gare de Coppet;108
Gare de Forbach;Gare de Metz-Ville;47
Gare de Bening;Gare de Metz-Ville;41
Bitche;Gare de Haguenau;69
Bitche;Gare de Niederbronn;26
Bitche-Camp;Gare de Niederbronn;38
Gare de Haguenau;Gare de Niederbronn;40
Bitche-Camp;Gare de Haguenau;76
Gare de Haguenau;Gare de Strasbourg;50
Gare de Haguenau;Gare de Wissembourg;37
Bouxwiller-Schattenmann;Haguenau-Moulin-Neuf.;43
Gare de Saverne;Niedermodern/Uberach;50
Gare de Ingwiller;Haguenau-Moulin-Neuf.;41
Dossenheim-(Mairie);Haguenau-Moulin-Neuf.;69
Gare de Obermodern;Saverne-(Ht-Barr);47
Gare de Ingwiller;Saverne-(Ht-Barr);56
Gare de Saverne;Haguenau-Moulin-Neuf.;81
Bouxwiller-Babenhausen;Dossenheim-(Mairie);20
Bouxwiller-Schattenmann;Niedermodern/Uberach;25
Bouxwiller-Schattenmann;Gare de Obermodern;10
Gare de Obermodern;Haguenau-Moulin-Neuf.;31
Gare de Obermodern;Gare de Saverne;36
Gare de Obermodern;Niedermodern/Uberach;12
Bouxwiller-Babenhausen;Niedermodern/Uberach;20
Dossenheim-(Mairie);Gare de Obermodern;23
Gare de Saverne;Neuwiller-R.-Bouxwiller;18
Gare de Obermodern;Pfaffenhoffen-(Mairie).;8
Gare de Saverne;Pfaffenhoffen-(Mairie).;43
Gare de Strasbourg;Gare de Sélestat;53
Gare de Benfeld;Gare de Strasbourg;42
Gare de Colmar;Gare de Raedersheim;45
Buswiller-Eglise;Gare de Mommenheim;19
Ettendorf-Pl-de-L'ecol;Gare de Mommenheim;15
Ettendorf-(Angle-Pont);Gare de Mommenheim;13
Bouxwiller-Babenhausen;Gare de Mommenheim;30
Gare de Diemeringen;Gare de Sarreguemines;31
Gare de Sarreguemines;Gare de Strasbourg;125
